ID,Type,Description,Probability,Impact,Response or Mitigation,Owner,Due,Status,Trigger or Escalation
R-001,Risk,The two-half-day timebox is insufficient for broad solution development,High,High,"Limit scope to validated assessment, prioritized recommendations, future-state workflow, and implementation roadmap",Team Lead,2026-09-16 14:10 ET,Open,Scope remains unapproved after Discover
R-002,Risk,The team recommends AI before correcting process or data weaknesses,Medium,High,"Sequence options from process simplification through standardization, deterministic automation, analytics, then AI",Process & Discovery Lead,2026-09-16,Open,An AI concept cannot be tied to a validated root cause
R-003,Risk,Sensitive behavioral-health or incident information is exposed in GitHub or unapproved tools,Low,Critical,"Use sanitized examples, approved channels, least-necessary access, and no credentials or identifiable records in GitHub","Risk, Change & Deliverables Lead",Immediate,Open,Sensitive data or credentials appear
R-004,Risk,Insufficient baseline data prevents quantified benefits,Medium,Medium,"Document available evidence, label gaps, use ranges only when McCall approves, and recommend baseline measurement","Data, Analytics & Quality Lead",2026-09-16,Open,"Volume, time, quality, or delay measures are unavailable"
R-005,Risk,McCall stakeholders with decision authority are unavailable,Medium,High,Confirm one to three working stakeholders and a decision owner before Day 1,Team Lead,2026-09-11,Open,Required decision cannot be made at a phase gate
R-006,Risk,"Tool, integration, procurement, or NextGen constraints make a recommendation infeasible",Medium,High,Validate environment and approvals; state dependencies; provide lower-dependency alternatives,AI & Automation Lead,2026-09-17,Open,A recommended approach assumes unverified access or capability
R-007,Risk,Early AI experimentation is not supported by mature governance or ownership,High,High,"Define pilot boundaries, human oversight, approval gates, monitoring, acceptable use, and named owners","Risk, Change & Deliverables Lead",2026-09-17,Open,No accountable owner or governance route can be named
R-008,Risk,Recommendations are technically sound but too complex to sustain,Medium,High,Weight readiness and maintainability; use plain language; include phased implementation and training,Team Lead,2026-09-17,Open,McCall cannot explain or own the proposed next step
R-009,Risk,Parallel workstreams produce inconsistent deliverables,Medium,Medium,"Use one source of truth, shared definitions, integrated review, and team-lead final consistency check","Risk, Change & Deliverables Lead",2026-09-17 14:35 ET,Open,"Conflicting scope, recommendations, owners, or terminology appear"
A-001,Assumption,Incident reports currently move from email to spreadsheets and are manually analyzed,N/A,High,"Validate each workflow step, exception, system, and control during discovery",Process & Discovery Lead,2026-09-16,Open,McCall describes a materially different current state
A-002,Assumption,McCall can provide sanitized examples and approved background materials by September 15,N/A,High,"Confirm content, access method, and restrictions during the full-team connector call",Team Lead,2026-09-15,Open,Materials are unavailable or contain restricted information
A-003,Assumption,The Quality Department use case can serve as a pilot for broader AI learning,N/A,Medium,Treat reuse as a future possibility and avoid assuming direct transfer across functions,AI & Automation Lead,2026-09-17,Open,"Other functions have materially different data, controls, or workflows"
D-001,Dependency,Approved shared folder and relevant resource access,N/A,High,Team lead and McCall establish secure access and confirm the source of truth,Team Lead,2026-09-11,Open,A team member cannot access required non-sensitive materials
D-002,Dependency,"McCall input on systems, data, controls, implementation readiness, and desired format",N/A,High,"Assign McCall process, technical/control, and implementation contacts",McCall Decision Owner,2026-09-11,Open,Required context or review is unavailable
D-003,Dependency,Program Zoom breakout rooms and planning-team support,N/A,Medium,Use official calendar links and escalate material program issues through the team lead,Team Lead,2026-09-16,Open,Official session or breakout access fails
