ID,Phase,Priority,Task,Deliverable or Acceptance Criteria,Owner,Reviewer or Decision Owner,Effort Minutes,Dependency,Status,Deadline,Notes
PRE-001,Align & Plan,Must,Conduct volunteer connector call,"Team strengths, norms, preliminary roles, and discovery assignments documented",Team Lead,Volunteer Team,30,None,Not Started,2026-09-11,Five volunteers including team lead
PRE-002,Align & Plan,Must,Conduct full-team connector call,"Draft need statement, preliminary scope, open questions, and next steps documented",Team Lead,McCall Decision Owner,40,PRE-001,Not Started,2026-09-11,One to three McCall stakeholders participate
PRE-003,Align & Plan,Must,Review background materials and approved access,"Team reviews project description, McCall context, tools, and constraints",Process & Discovery Lead,Team Lead,60,PRE-002,Not Started,2026-09-15,Use approved shared folder; no sensitive content in GitHub
PRE-004,Align & Plan,Must,Consolidate discovery question bank,Questions assigned by topic and duplicate questions removed,Process & Discovery Lead,Team Lead,30,PRE-003,Not Started,2026-09-15,Use DISCOVERY_GUIDE.md
DIS-001,Discover,Must,Map the current incident-report workflow,"Actors, systems, inputs, decisions, handoffs, outputs, and controls are validated",Process & Discovery Lead,McCall Process Owner,40,PRE-003,Not Started,2026-09-16 13:20 ET,"Validate role of email, spreadsheets, NextGen, and other systems"
DIS-002,Discover,Must,Establish baseline and pain points,"Known volume, effort, delay, rework, data-quality, and reporting needs are captured","Data, Analytics & Quality Lead",McCall Process Owner,25,DIS-001,Not Started,2026-09-16 13:40 ET,"Label unavailable measures as gaps, not facts"
DIS-003,Discover,Must,Identify data and control constraints,"Sensitive-data boundaries, approved tools, access, retention, and human-review needs documented","Risk, Change & Deliverables Lead",McCall Technical/Control Partner,25,DIS-001,Not Started,2026-09-16 13:40 ET,Do not collect identifiable incident examples
DIS-004,Discover,Must,Validate root causes and need statement,"McCall confirms causes, desired outcome, and concise need statement",Process & Discovery Lead,McCall Decision Owner,20,DIS-002;DIS-003,Not Started,2026-09-16 14:10 ET,Distinguish symptoms from causes
DIS-005,Discover,Must,Approve scope and success criteria,"In scope, out of scope, resources, milestones, completion criteria, and measures approved",Team Lead,McCall Decision Owner,10,DIS-004,Not Started,2026-09-16 14:10 ET,Scope changes require tradeoff or deferral
DES-001,Design,Must,Generate improvement approaches,"Options include process, standardization, deterministic automation, analytics, and AI assistance",AI & Automation Lead,Full Project Team,30,DIS-005,Not Started,2026-09-16 14:40 ET,Improve process before automating
DES-002,Design,Must,Score and prioritize approaches,"Options scored for impact, feasibility, control fit, readiness, efficiency, and oversight",Team Lead,McCall Decision Owner,25,DES-001,Not Started,2026-09-16 15:30 ET,Fatal safety or control constraints disqualify an option
DES-003,Design,Must,Draft future-state workflow,"Workflow shows intake, validation, analysis, reporting, human review, exceptions, escalation, and auditability",Process & Discovery Lead,AI & Automation Lead,30,DES-002,Not Started,2026-09-17 12:45 ET,Use plain language and role-based steps
DES-004,Design,Must,Define responsible-AI and governance considerations,"Risks, controls, owners, approvals, monitoring, and limitations documented","Risk, Change & Deliverables Lead",McCall Technical/Control Partner,25,DES-002,Not Started,2026-09-17 13:00 ET,Recommendations are not legal or compliance certification
DES-005,Design,Must,Confirm final deliverable plan,"Final artifacts, formats, workstream owners, reviewers, and deadlines approved",Team Lead,McCall Decision Owner,15,DES-002,Not Started,2026-09-16 15:45 ET,Complete before Day 1 wrap-up
DEV-001,Develop,Must,Complete current-state and root-cause summary,"Assessment is accurate, traceable, and approved for final package",Process & Discovery Lead,McCall Process Owner,30,DIS-005,Not Started,2026-09-17 14:10 ET,Editable format
DEV-002,Develop,Must,Complete prioritized opportunity matrix,"Recommendations include rationale, value, feasibility, risk, readiness, dependencies, and owner",AI & Automation Lead,Team Lead,30,DES-002;DES-004,Not Started,2026-09-17 14:10 ET,Include AI and non-AI options
DEV-003,Develop,Must,Complete phased implementation roadmap,"Roadmap includes prerequisites, sequence, decision gates, owners, training, and success measures","Risk, Change & Deliverables Lead",McCall Implementation Owner,35,DES-003;DES-004,Not Started,2026-09-17 14:10 ET,Implementation is owned by McCall after handoff
DEV-004,Develop,Must,Integrate executive-ready final package,"All deliverables are consistent, legible, and use plain language","Risk, Change & Deliverables Lead",Team Lead,25,DEV-001;DEV-002;DEV-003,Not Started,2026-09-17 14:35 ET,Final format confirmed with McCall
DEL-001,Deliver,Must,Walk through recommendations and roadmap,"Relevant McCall stakeholders understand priorities, rationale, risks, and next steps",Team Lead,McCall Decision Owner,30,DEV-004,Not Started,2026-09-17 15:15 ET,Invite questions and candid feasibility feedback
DEL-002,Deliver,Must,Finalize acceptance and ownership transfer,"Feedback incorporated, limitations documented, owners confirmed, and final location accessible",Team Lead,McCall Decision Owner,10,DEL-001,Not Started,2026-09-17 15:25 ET,Record disposition in TEST_AND_ACCEPTANCE.md
POST-001,Post-Program,Must,"Complete debrief, survey, and volunteer-time entry",Debrief completed September 17; survey and time entry completed by September 25,Each Participant,Team Lead,30,DEL-002,Not Started,2026-09-25,External sharing only when approved
